session	condition	response	stimulus
Session1	Cued	1.0	1112_400ms.wav
Session1	Cued	1.0	2095_400ms.wav
Session1	Cued	2.0	2717_400ms.wav
Session1	Cued	5.0	3051_400ms.wav
Session1	Cued	2.0	3170_400ms.wav
Session1	Cued	2.0	3215_400ms.wav
Session1	Cued	4.0	3261_400ms.wav
Session1	Cued	5.0	6000_400ms.wav
Session1	Cued	3.0	6021_400ms.wav
Session1	Cued	4.0	6315_400ms.wav
Session1	Cued	2.0	6834_400ms.wav
Session1	Cued	2.0	9000_400ms.wav
Session1	Cued	1.0	9041_400ms.wav
Session1	Cued	2.0	9230_400ms.wav
Session1	Cued	5.0	9252_400ms.wav
Session1	Cued	4.0	9253_400ms.wav
Session1	Cued	3.0	9254_400ms.wav
Session1	Cued	3.0	9301_400ms.wav
Session1	Cued	5.0	9405_400ms.wav
Session1	Cued	4.0	9420_400ms.wav
Session1	Cued	1.0	9423_400ms.wav
Session1	Cued	5.0	9429_400ms.wav
Session1	Cued	2.0	9800_400ms.wav
Session1	Cued	2.0	9921_400ms.wav
Session2	Cued	1.0	1112_400ms.wav
Session2	Cued	2.0	2095_400ms.wav
Session2	Cued	3.0	2717_400ms.wav
Session2	Cued	2.0	3051_400ms.wav
Session2	Cued	1.0	3170_400ms.wav
Session2	Cued	4.0	3215_400ms.wav
Session2	Cued	2.0	3261_400ms.wav
Session2	Cued	1.0	6000_400ms.wav
Session2	Cued	4.0	6021_400ms.wav
Session2	Cued	2.0	6315_400ms.wav
Session2	Cued	2.0	6834_400ms.wav
Session2	Cued	2.0	9000_400ms.wav
Session2	Cued	2.0	9041_400ms.wav
Session2	Cued	5.0	9230_400ms.wav
Session2	Cued	4.0	9252_400ms.wav
Session2	Cued	2.0	9253_400ms.wav
Session2	Cued	3.0	9254_400ms.wav
Session2	Cued	3.0	9301_400ms.wav
Session2	Cued	3.0	9405_400ms.wav
Session2	Cued	3.0	9420_400ms.wav
Session2	Cued	4.0	9423_400ms.wav
Session2	Cued	4.0	9429_400ms.wav
Session2	Cued	4.0	9800_400ms.wav
Session2	Cued	2.0	9921_400ms.wav
Session3	Cued	1.0	1112_400ms.wav
Session3	Cued	1.0	2095_400ms.wav
Session3	Cued	1.0	2717_400ms.wav
Session3	Cued	3.0	3051_400ms.wav
Session3	Cued	1.0	3170_400ms.wav
Session3	Cued	1.0	3215_400ms.wav
Session3	Cued	3.0	3261_400ms.wav
Session3	Cued	2.0	6000_400ms.wav
Session3	Cued	1.0	6021_400ms.wav
Session3	Cued	1.0	6315_400ms.wav
Session3	Cued	2.0	6834_400ms.wav
Session3	Cued	2.0	9000_400ms.wav
Session3	Cued	1.0	9041_400ms.wav
Session3	Cued	2.0	9230_400ms.wav
Session3	Cued	1.0	9252_400ms.wav
Session3	Cued	3.0	9253_400ms.wav
Session3	Cued	2.0	9254_400ms.wav
Session3	Cued	2.0	9301_400ms.wav
Session3	Cued	3.0	9405_400ms.wav
Session3	Cued	1.0	9420_400ms.wav
Session3	Cued	1.0	9423_400ms.wav
Session3	Cued	3.0	9429_400ms.wav
Session3	Cued	1.0	9800_400ms.wav
Session3	Cued	2.0	9921_400ms.wav
Session2	Uncued	1.0	1300_400ms.wav
Session2	Uncued	1.0	1930_400ms.wav
Session2	Uncued	4.0	2799_400ms.wav
Session2	Uncued	3.0	2800_400ms.wav
Session2	Uncued	5.0	3016_400ms.wav
Session2	Uncued	1.0	3068_400ms.wav
Session2	Uncued	1.0	3210_400ms.wav
Session2	Uncued	4.0	3225_400ms.wav
Session2	Uncued	3.0	3230_400ms.wav
Session2	Uncued	4.0	3301_400ms.wav
Session2	Uncued	2.0	6242_400ms.wav
Session2	Uncued	5.0	6550_400ms.wav
Session2	Uncued	5.0	6560_400ms.wav
Session2	Uncued	2.0	8485_400ms.wav
Session2	Uncued	1.0	9050_400ms.wav
Session2	Uncued	3.0	9320_400ms.wav
Session2	Uncued	2.0	9410_400ms.wav
Session2	Uncued	1.0	9424_400ms.wav
Session2	Uncued	2.0	9425_400ms.wav
Session2	Uncued	2.0	9571_400ms.wav
Session2	Uncued	1.0	9582_400ms.wav
Session2	Uncued	2.0	9622_400ms.wav
Session2	Uncued	1.0	9630_400ms.wav
Session2	Uncued	2.0	9900_400ms.wav
Session3	Uncued	1.0	1300_400ms.wav
Session3	Uncued	1.0	1930_400ms.wav
Session3	Uncued	2.0	2799_400ms.wav
Session3	Uncued	2.0	2800_400ms.wav
Session3	Uncued	4.0	3016_400ms.wav
Session3	Uncued	2.0	3068_400ms.wav
Session3	Uncued	1.0	3210_400ms.wav
Session3	Uncued	2.0	3225_400ms.wav
Session3	Uncued	2.0	3230_400ms.wav
Session3	Uncued	4.0	3301_400ms.wav
Session3	Uncued	1.0	6242_400ms.wav
Session3	Uncued	2.0	6550_400ms.wav
Session3	Uncued	2.0	6560_400ms.wav
Session3	Uncued	1.0	8485_400ms.wav
Session3	Uncued	1.0	9050_400ms.wav
Session3	Uncued	2.0	9320_400ms.wav
Session3	Uncued	5.0	9410_400ms.wav
Session3	Uncued	3.0	9424_400ms.wav
Session3	Uncued	1.0	9425_400ms.wav
Session3	Uncued	2.0	9571_400ms.wav
Session3	Uncued	1.0	9582_400ms.wav
Session3	Uncued	1.0	9622_400ms.wav
Session3	Uncued	1.0	9630_400ms.wav
Session3	Uncued	2.0	9900_400ms.wav
Session1	Uncued	4.0	1300_400ms.wav
Session1	Uncued	1.0	1930_400ms.wav
Session1	Uncued	2.0	2799_400ms.wav
Session1	Uncued	4.0	2800_400ms.wav
Session1	Uncued	3.0	3016_400ms.wav
Session1	Uncued	3.0	3068_400ms.wav
Session1	Uncued	1.0	3210_400ms.wav
Session1	Uncued	2.0	3225_400ms.wav
Session1	Uncued	1.0	3230_400ms.wav
Session1	Uncued	3.0	3301_400ms.wav
Session1	Uncued	3.0	6242_400ms.wav
Session1	Uncued	4.0	6550_400ms.wav
Session1	Uncued	2.0	6560_400ms.wav
Session1	Uncued	4.0	8485_400ms.wav
Session1	Uncued	2.0	9050_400ms.wav
Session1	Uncued	3.0	9320_400ms.wav
Session1	Uncued	5.0	9410_400ms.wav
Session1	Uncued	3.0	9424_400ms.wav
Session1	Uncued	1.0	9425_400ms.wav
Session1	Uncued	1.0	9571_400ms.wav
Session1	Uncued	2.0	9582_400ms.wav
Session1	Uncued	3.0	9622_400ms.wav
Session1	Uncued	1.0	9630_400ms.wav
Session1	Uncued	4.0	9900_400ms.wav
